index	name
1	TL_hippocampus_R
2	TL_hippocampus_L
3	TL_amygdala_R
4	TL_amygdala_L
5	TL_anterior_temporal_lobe_medial_part_R
6	TL_anterior_temporal_lobe_medial_part_L
7	TL_anterior_temporal_lobe_lateral_part_R
8	TL_anterior_temporal_lobe_lateral_part_L
9	TL_parahippocampal_and_ambient_gyrus_R
10	TL_parahippocampal_and_ambient_gyrus_L
11	TL_superior_temporal_gyrus_middle_part_R
12	TL_superior_temporal_gyrus_middle_part_L
13	TL_middle_and_inferior_temporal_gyrus_R
14	TL_middle_and_inferior_temporal_gyrus_L
15	TL_fusiform_gyrus_R
16	TL_fusiform_gyrus_L
17	cerebellum_R
18	cerebellum_L
19	brainstem_excluding_substantia_nigra
20	insula_posterior_long_gyrus_L
21	insula_posterior_long_gyrus_R
22	OL_lateral_remainder_occipital_lobe_L
23	OL_lateral_remainder_occipital_lobe_R
24	CG_anterior_cingulate_gyrus_L
25	CG_anterior_cingulate_gyrus_R
26	CG_posterior_cingulate_gyrus_L
27	CG_posterior_cingulate_gyrus_R
28	FL_middle_frontal_gyrus_L
29	FL_middle_frontal_gyrus_R
30	TL_posterior_temporal_lobe_L
31	TL_posterior_temporal_lobe_R
32	PL_angular_gyrus_L
33	PL_angular_gyrus_R
34	caudate_nucleus_L
35	caudate_nucleus_R
36	nucleus_accumbens_L
37	nucleus_accumbens_R
38	putamen_L
39	putamen_R
40	thalamus_L
41	thalamus_R
42	pallidum_L
43	pallidum_R
44	corpus_callosum
45	Lateral_ventricle_excluding_temporal_horn_R
46	Lateral_ventricle_excluding_temporal_horn_L
47	Lateral_ventricle_temporal_horn_R
48	Lateral_ventricle_temporal_horn_L
49	Third_ventricle
50	FL_precentral_gyrus_L
51	FL_precentral_gyrus_R
52	FL_straight_gyrus_L
53	FL_straight_gyrus_R
54	FL_anterior_orbital_gyrus_L
55	FL_anterior_orbital_gyrus_R
56	FL_inferior_frontal_gyrus_L
57	FL_inferior_frontal_gyrus_R
58	FL_superior_frontal_gyrus_L
59	FL_superior_frontal_gyrus_R
60	PL_postcentral_gyrus_L
61	PL_postcentral_gyrus_R
62	PL_superior_parietal_gyrus_L
63	PL_superior_parietal_gyrus_R
64	OL_lingual_gyrus_L
65	OL_lingual_gyrus_R
66	OL_cuneus_L
67	OL_cuneus_R
68	FL_medial_orbital_gyrus_L
69	FL_medial_orbital_gyrus_R
70	FL_lateral_orbital_gyrus_L
71	FL_lateral_orbital_gyrus_R
72	FL_posterior_orbital_gyrus_L
73	FL_posterior_orbital_gyrus_R
74	substantia_nigra_L
75	substantia_nigra_R
76	FL_subgenual_frontal_cortex_L
77	FL_subgenual_frontal_cortex_R
78	FL_subcallosal_area_L
79	FL_subcallosal_area_R
80	FL_pre-subgenual_frontal_cortex_L
81	FL_pre-subgenual_frontal_cortex_R
82	TL_superior_temporal_gyrus_anterior_part_L
83	TL_superior_temporal_gyrus_anterior_part_R
84	PL_supramarginal_gyrus_L
85	PL_supramarginal_gyrus_R
86	insula_anterior_short_gyrus_L
87	insula_anterior_short_gyrus_R
88	insula_middle_short_gyrus_L
89	insula_middle_short_gyrus_R
90	insula_posterior_short_gyrus_L
91	insula_posterior_short_gyrus_R
92	insula_anterior_inferior_cortex_L
93	insula_anterior_inferior_cortex_R
94	insula_anterior_long_gyrus_L
95	insula_anterior_long_gyrus_R
