time	plasma_radioactivity	metabolite_parent_fraction
0	0	0
10.0000002	19.30438	n/a
19.9999998	11.41598	n/a
30	-0.8288	n/a
40.002	187.60369	n/a
49.998	4788.811580000001	n/a
60	12365.39704	n/a
70.00200000000001	16107.85861	n/a
79.99799999999999	18571.96204	n/a
90	16183.6483	n/a
100.002	12361.91645	n/a
109.998	10091.18575	n/a
120	9192.42208	0.50342533
139.998	7552.26055	n/a
160.002	7151.83101	n/a
180	7033.1857	n/a
199.998	6608.60293	n/a
220.002	6162.81509	n/a
240	5882.2452	n/a
360	5416.896940000001	n/a
480	5278.37153	n/a
720	4343.44517	0.62502916
960	4217.90158	n/a
1200	4192.49812	0.52976961
1800	4350.59875	n/a
2400	4427.88805	n/a
3300	4470.98528	0.19456334
3600	4215.10401	n/a
4800	4591.47578	0.1376665
5400	4271.10425	n/a
6000	4406.48947	0.13406937
7200	3905.08249	n/a
